Date,Close/Last,Volume,Open,High,Low
06/28/2022,$17.94,11483030,$18.25,$18.7577,$17.85
06/27/2022,$18.39,16882590,$19.01,$19.34,$17.94
06/24/2022,$19.21,50116980,$19.59,$19.87,$18.77
06/23/2022,$19.30,24147040,$18.11,$19.65,$17.99
06/22/2022,$18.03,14327530,$17.66,$18.58,$17.48
06/21/2022,$17.90,21750440,$17.16,$18.685,$17.15
06/17/2022,$16.63,24043980,$15.99,$16.81,$15.6107
06/16/2022,$15.55,19089820,$16.85,$17.00,$15.30
06/15/2022,$17.52,17671250,$16.30,$17.6599,$16.22
06/14/2022,$16.60,15723080,$16.50,$16.95,$15.80
06/13/2022,$16.31,18563850,$17.01,$17.19,$16.16
06/10/2022,$18.02,14394930,$18.52,$19.14,$18.00
06/09/2022,$18.88,16010800,$19.344,$19.66,$18.80
06/08/2022,$19.59,15619290,$19.01,$20.1098,$18.97
06/07/2022,$18.96,12597960,$18.92,$19.395,$18.64
06/06/2022,$19.15,15920900,$19.04,$19.98,$18.79
06/03/2022,$18.67,18144850,$19.24,$19.38,$18.3224
06/02/2022,$19.96,15615460,$19.31,$20.1509,$18.90
06/01/2022,$19.50,15746870,$20.30,$20.545,$19.263
05/31/2022,$20.18,24021280,$20.07,$20.725,$19.38
05/27/2022,$19.83,19140040,$19.23,$19.88,$19.13
05/26/2022,$18.89,25111660,$17.26,$19.30,$17.20
05/25/2022,$17.45,18661620,$17.045,$17.59,$16.76
05/24/2022,$17.10,18049770,$17.97,$18.30,$16.86
05/23/2022,$18.40,15852300,$18.31,$18.56,$17.70
05/20/2022,$18.39,28540940,$19.74,$19.80,$17.345
05/19/2022,$19.27,39616390,$17.748,$19.93,$17.46
05/18/2022,$17.36,22487250,$17.58,$18.4057,$17.065
05/17/2022,$17.85,18908000,$17.51,$18.39,$17.272
05/16/2022,$17.36,18649810,$18.03,$18.54,$17.24
05/13/2022,$18.01,38888140,$16.25,$18.33,$16.25
